9.26273e+06, 9.2617e+06, 9.27872e+06, 9.26649e+06, 9.27952e+06, 9.26723e+06, 
9.26288e+06, 9.26181e+06, 9.27849e+06, 9.26642e+06, 9.2797e+06, 9.26703e+06, 
9.26293e+06, 9.26177e+06, 9.27868e+06, 9.26616e+06, 9.27957e+06, 9.26723e+06, 
9.26276e+06, 9.2618e+06, 9.2787e+06, 9.26634e+06, 9.27944e+06, 9.26711e+06, 
9.26284e+06, 9.26168e+06, 9.27856e+06, 9.26612e+06, 9.27951e+06, 9.26721e+06, 
9.26265e+06, 9.26151e+06, 9.27848e+06, 9.26608e+06, 9.27921e+06, 9.26724e+06, 
9.26271e+06, 9.26158e+06, 9.27849e+06, 9.26621e+06, 9.27933e+06, 9.267e+06, 
9.26276e+06, 9.26159e+06, 9.27857e+06, 9.2659e+06, 9.27934e+06, 9.26717e+06, 
9.26262e+06, 9.26154e+06, 9.27859e+06, 9.26611e+06, 9.27928e+06, 9.2674e+06, 
9.26298e+06, 9.2616e+06, 9.27839e+06, 9.26612e+06, 9.27955e+06, 9.26701e+06, 
9.26298e+06, 9.26168e+06, 9.27867e+06, 9.266e+06, 9.27948e+06, 9.2672e+06, 
9.26267e+06, 9.26155e+06, 9.2786e+06, 9.2661e+06, 9.27932e+06, 9.2672e+06, 
9.26279e+06, 9.26152e+06, 9.27842e+06, 9.26604e+06, 9.27942e+06, 9.26705e+06, 
9.2627e+06, 9.26158e+06, 9.27861e+06, 9.26616e+06, 9.27932e+06, 9.26705e+06, 
9.26281e+06, 9.2617e+06, 9.2784e+06, 9.26636e+06, 9.27948e+06, 9.26695e+06, 
9.2628e+06, 9.26159e+06, 9.27857e+06, 9.26611e+06, 9.27949e+06, 9.2671e+06, 
9.26274e+06, 9.26154e+06, 9.27852e+06, 9.26619e+06, 9.27929e+06, 9.26718e+06, 
9.2629e+06, 9.26173e+06, 9.27854e+06, 9.26613e+06, 9.27932e+06, 9.267e+06, 
9.26284e+06, 9.26146e+06, 9.27846e+06, 9.26586e+06, 9.27914e+06, 9.26734e+06, 
9.2628e+06, 9.26148e+06, 9.27854e+06, 9.26592e+06, 9.27907e+06, 9.26712e+06, 
9.26275e+06, 9.26154e+06, 9.27853e+06, 9.26576e+06, 9.27932e+06, 9.2671e+06, 
9.26262e+06, 9.26155e+06, 9.27851e+06, 9.26591e+06, 9.27905e+06, 9.26703e+06, 
9.26255e+06, 9.26134e+06, 9.2784e+06, 9.26588e+06, 9.27917e+06, 9.26694e+06, 
9.26278e+06, 9.26129e+06, 9.27847e+06, 9.26573e+06, 9.27904e+06, 9.26716e+06, 
9.26256e+06, 9.26131e+06, 9.27853e+06, 9.26602e+06, 9.27912e+06, 9.26717e+06, 
9.26274e+06, 9.26144e+06, 9.27831e+06, 9.26607e+06, 9.27932e+06, 9.26696e+06, 
9.26263e+06, 9.26143e+06, 9.27841e+06, 9.26601e+06, 9.27936e+06, 9.26707e+06, 
9.2626e+06, 9.26135e+06, 9.27844e+06, 9.26607e+06, 9.27913e+06, 9.26688e+06, 
9.2628e+06, 9.26161e+06, 9.27851e+06, 9.26597e+06, 9.27929e+06, 9.2668e+06, 
9.26267e+06, 9.26151e+06, 9.27849e+06, 9.26606e+06, 9.27906e+06, 9.26704e+06, 
9.26256e+06, 9.26137e+06, 9.27837e+06, 9.26604e+06, 9.27917e+06, 9.26696e+06, 
9.263e+06, 9.26153e+06, 9.27856e+06, 9.26597e+06, 9.27948e+06, 9.2672e+06, 
9.26279e+06, 9.26155e+06, 9.27858e+06, 9.26623e+06, 9.27918e+06, 9.26702e+06, 
9.26276e+06, 9.2616e+06, 9.27844e+06, 9.2661e+06, 9.27942e+06, 9.26696e+06, 
9.2628e+06, 9.2616e+06, 9.27847e+06, 9.26597e+06, 9.27949e+06, 9.26694e+06, 
9.2627e+06, 9.26154e+06, 9.27851e+06, 9.26627e+06, 9.27914e+06, 9.26712e+06, 
9.2629e+06, 9.2615e+06, 9.27838e+06, 9.26608e+06, 9.27924e+06, 9.26693e+06, 
9.26285e+06, 9.26144e+06, 9.27852e+06, 9.26609e+06, 9.27927e+06, 9.26713e+06, 
9.2627e+06, 9.2616e+06, 9.27852e+06, 9.26628e+06, 9.27953e+06, 9.26673e+06, 
9.26264e+06, 9.26161e+06, 9.27836e+06, 9.2661e+06, 9.27941e+06, 9.26682e+06, 
9.26261e+06, 9.26144e+06, 9.27845e+06, 9.26617e+06, 9.27942e+06, 9.2669e+06, 
9.26269e+06, 9.26157e+06, 9.27839e+06, 9.26614e+06, 9.27949e+06, 9.26689e+06, 
9.26289e+06, 9.26173e+06, 9.27863e+06, 9.26631e+06, 9.27971e+06, 9.26718e+06, 
9.26281e+06, 9.26164e+06, 9.27872e+06, 9.26658e+06, 9.27973e+06, 9.26737e+06, 
9.263e+06, 9.26175e+06, 9.27837e+06, 9.26636e+06, 9.27984e+06, 9.26721e+06, 
9.26287e+06, 9.26187e+06, 9.27863e+06, 9.2661e+06, 9.27947e+06, 9.26732e+06, 
9.26272e+06, 9.26188e+06, 9.27868e+06, 9.2661e+06, 9.27897e+06, 9.26723e+06, 
9.26298e+06, 9.26178e+06, 9.27852e+06, 9.26571e+06, 9.27915e+06, 9.26714e+06, 
9.26272e+06, 9.26155e+06, 9.27857e+06, 9.26574e+06, 9.27887e+06, 9.26692e+06, 
9.26274e+06, 9.26138e+06, 9.27809e+06, 9.26569e+06, 9.27896e+06, 9.26692e+06, 
9.26288e+06, 9.26117e+06, 9.27827e+06, 9.26557e+06, 9.27892e+06, 9.26719e+06, 
9.26259e+06, 9.26094e+06, 9.27829e+06, 9.26571e+06, 9.27882e+06, 9.26707e+06, 
9.26276e+06, 9.26119e+06, 9.27814e+06, 9.26571e+06, 9.2791e+06, 9.26677e+06, 
9.26275e+06, 9.26134e+06, 9.27829e+06, 9.2658e+06, 9.27922e+06, 9.26701e+06, 
9.26242e+06, 9.26121e+06, 9.2783e+06, 9.26578e+06, 9.27905e+06, 9.26688e+06, 
9.26265e+06, 9.26151e+06, 9.27824e+06, 9.26578e+06, 9.27914e+06, 9.26658e+06, 
